E,log10E,Ta_c_data,k_c_data,Ta_c_dist,k_c_dist,Ta_c_cnp,k_c_cnp,err_Ta_dist,err_Ta_cnp,err_k_dist,err_k_cnp
0.0133,-1.8761483590329142,98.6794,9.8,102.81299591064453,9.815999984741211,101.43862915039062,10.119999885559082,4.13359591064453,2.759229150390624,0.015999984741210227,0.3199998855590813
0.0135,-1.869666231504994,97.7397,9.8,108.74761962890625,9.2839994430542,101.71209716796875,10.196000099182129,11.00791962890625,3.972397167968751,-0.5160005569458015,0.3960000991821282
0.0136,-1.8664610916297826,97.1571,9.8,98.24258422851562,9.827199935913086,98.06941986083984,9.663999557495117,1.0854842285156252,0.912319860839844,0.027199935913085227,-0.13600044250488352
0.0139,-1.856985199745905,95.6858,9.9,97.0079345703125,9.704000473022461,97.0405044555664,10.015999794006348,1.3221345703124996,1.3547044555664058,-0.19599952697753942,0.1159997940063473
0.014,-1.853871964321762,94.9523,9.9,95.60212707519531,10.059200286865234,95.96794891357422,10.196000099182129,0.6498270751953186,1.0156489135742248,0.15920028686523402,0.29600009918212855
0.0142,-1.8477116556169435,94.2633,9.9,94.71240997314453,10.059200286865234,94.74771881103516,10.059200286865234,0.4491099731445303,0.4844188110351553,0.15920028686523402,0.15920028686523402
0.0145,-1.8386319977650252,92.8811,10.0,93.35391998291016,9.783599853515625,93.18085479736328,9.833999633789062,0.4728199829101527,0.2997547973632777,-0.216400146484375,-0.1660003662109375
0.0146,-1.8356471442155629,92.3316,10.0,92.96885681152344,10.161600112915039,92.64305114746094,9.833999633789062,0.6372568115234429,0.31145114746094293,0.16160011291503906,-0.1660003662109375
0.0147,-1.832682665251824,91.5517,10.1,92.14344787597656,9.90880012512207,91.8943862915039,9.934000015258789,0.5917478759765658,0.3426862915039095,-0.19119987487792933,-0.16599998474121058
0.015,-1.8239087409443189,90.2484,10.1,91.02610778808594,10.175600051879883,91.12371826171875,10.207200050354004,0.7777077880859338,0.8753182617187463,0.07560005187988317,0.10720005035400426
0.0151,-1.8210230527068305,89.8626,10.1,90.28237915039062,10.000799179077148,90.42118835449219,10.38479995727539,0.4197791503906245,0.558588354492187,-0.09920082092285121,0.284799957275391
0.0153,-1.8153085691824011,88.9919,10.2,89.39989471435547,10.043999671936035,89.36964416503906,10.069999694824219,0.40799471435546764,0.3777441650390614,-0.15600032806396413,-0.13000030517578054
0.0156,-1.8068754016455384,87.7727,10.2,88.14915466308594,10.144000053405762,88.01976776123047,10.170000076293945,0.3764546630859371,0.24706776123046836,-0.05599994659423757,-0.029999923706053977
0.0157,-1.8041003475907662,87.5309,10.3,87.90026092529297,10.179200172424316,87.76217651367188,10.206000328063965,0.36936092529296616,0.2312765136718724,-0.1207998275756843,-0.09399967193603587
0.0159,-1.7986028756795485,86.581,10.3,86.94373321533203,10.279200553894043,86.80162811279297,10.306000709533691,0.3627332153320282,0.22062811279296568,-0.020799446105957742,0.006000709533690696
0.0162,-1.790484985457369,85.4288,10.4,85.87804412841797,10.406000137329102,85.69144439697266,10.406000137329102,0.44924412841797334,0.26264439697266084,0.006000137329101207,0.006000137329101207
0.0163,-1.7878123955960423,85.313,10.4,85.84783935546875,10.43280029296875,85.62191009521484,10.406000137329102,0.5348393554687476,0.30891009521484136,0.032800292968749645,0.006000137329101207
0.0165,-1.7825160557860937,84.3083,10.4,84.8180923461914,10.308000564575195,84.97564697265625,10.2760009765625,0.5097923461914036,0.6673469726562473,-0.09199943542480504,-0.12399902343750036
0.0168,-1.7746907182741372,83.2105,10.5,83.81405639648438,10.448800086975098,83.7076187133789,10.51200008392334,0.6035563964843789,0.4971187133789101,-0.051199913024902344,0.012000083923339844
0.0171,-1.7670038896078462,82.1466,10.6,82.75313568115234,10.434399604797363,82.66657257080078,10.684000015258789,0.6065356811523372,0.5199725708007747,-0.16560039520263636,0.08400001525878942
0.0174,-1.7594507517174003,81.1148,10.7,81.87606811523438,10.960000038146973,82.12611389160156,11.185999870300293,0.7612681152343725,1.01131389160156,0.26000003814697337,0.4859998703002937
0.0177,-1.7520267336381934,80.1017,10.7,80.3847885131836,10.663999557495117,80.37153625488281,10.663999557495117,0.28308851318359984,0.2698362548828186,-0.0360004425048821,-0.0360004425048821
0.0179,-1.747146969020107,79.3156,10.8,79.56752014160156,10.766400337219238,79.55491638183594,10.791999816894531,0.25192014160155907,0.23931638183593407,-0.03359966278076243,-0.00800018310546946
0.018,-1.744727494896694,79.1151,10.8,79.37704467773438,10.813600540161133,79.36830139160156,10.738000869750977,0.2619446777343768,0.2532013916015643,0.013600540161132102,-0.06199913024902415
0.0183,-1.7375489102695705,78.1569,10.9,78.45380401611328,10.86240005493164,78.37738800048828,10.786800384521484,0.2969040161132881,0.2204880004882881,-0.03759994506835973,-0.11319961547851598
0.0185,-1.7328282715969863,77.5114,10.9,77.85240936279297,10.937199592590332,77.73473358154297,10.861599922180176,0.341009362792974,0.223333581542974,0.037199592590331676,-0.038400077819824574
0.0186,-1.7304870557820837,77.2257,11.0,77.62104797363281,11.012800216674805,77.46369934082031,10.913599967956543,0.39534797363280916,0.23799934082030916,0.012800216674804688,-0.08640003204345703
0.0189,-1.723538195826756,76.318,11.0,77.30781555175781,11.263200759887695,77.08287048339844,11.03640079498291,0.9898155517578147,0.7648704833984397,0.2632007598876953,0.036400794982910156
0.019,-1.7212463990471711,75.7865,11.1,76.91376495361328,11.993200302124023,77.04440307617188,11.968000411987305,1.1272649536132775,1.2579030761718712,0.8932003021240238,0.868000411987305
0.0192,-1.7166987712964503,75.4286,11.1,76.54525756835938,11.045600891113281,76.91842651367188,10.527200698852539,1.116657568359372,1.489826513671872,-0.054399108886718395,-0.5727993011474606
0.0195,-1.709965388637482,74.5646,11.2,74.92290496826172,10.827199935913086,75.07137298583984,10.827199935913086,0.3583049682617201,0.5067729858398451,-0.37280006408691335,-0.37280006408691335
