split,window_id,E,log10E,branch_local_id,center_pred_s,center_true_s,window_half_width,baseline_mae,baseline_rmse
train,377,0.0252,-1.5985994,2,0.01,0.02,0.16,0.0045656376,0.0069259293
train,378,0.0253,-1.5968795,0,0.02,0.02,0.16,0.012878427,0.0155065255
train,379,0.0253,-1.5968795,1,0.04,0.04,0.16,0.03006432,0.035384297
train,380,0.0253,-1.5968795,2,0.02,0.02,0.16,0.0061479714,0.0077368687
train,381,0.0257,-1.5900669,0,0.02,0.02,0.16,0.012784362,0.015404267
train,382,0.0257,-1.5900669,1,0.02,0.01,0.16,0.02393345,0.027974507
train,383,0.0257,-1.5900669,2,0.02,0.02,0.16,0.020864597,0.023940744
train,384,0.0265,-1.5767541,0,0.02,0.02,0.16,0.013690849,0.016516889
train,385,0.0265,-1.5767541,1,0.02,0.01,0.16,0.027409213,0.033002675
train,386,0.0265,-1.5767541,2,0.02,0.02,0.16,0.020346433,0.021155901
train,387,0.0266,-1.5751184,0,0.02,0.02,0.16,0.013671792,0.016494397
train,388,0.0266,-1.5751184,1,0.01,0.01,0.16,0.020807372,0.02429525
train,389,0.0266,-1.5751184,2,0.03,0.02,0.16,0.014565967,0.01563724
train,390,0.0268,-1.5718652,0,0.02,0.02,0.16,0.013597719,0.01640925
train,391,0.0268,-1.5718652,1,0.12,0.01,0.16,0.01563552,0.023179809
train,392,0.0268,-1.5718652,2,0.01,0.02,0.16,0.044848207,0.051139083
train,393,0.0274,-1.5622494,0,0.02,0.02,0.16,0.013267921,0.015969647
train,394,0.0274,-1.5622494,1,0.08,0.07,0.16,0.018551862,0.019805025
train,395,0.0274,-1.5622494,2,0.05,0.02,0.16,0.02186037,0.023286164
train,396,0.0276,-1.559091,0,0.02,0.02,0.16,0.014500654,0.017519234
train,397,0.0276,-1.559091,1,0.01,0.01,0.16,0.016076129,0.016628467
train,398,0.0276,-1.559091,2,0.04,0.06,0.16,0.016867267,0.020375926
train,399,0.0279,-1.5543958,0,0.02,0.02,0.16,0.014399968,0.017400865
train,400,0.0279,-1.5543958,1,0.01,0.01,0.16,0.022233145,0.028083952
train,401,0.0279,-1.5543958,2,0.06,0.02,0.16,0.026560925,0.03258174
train,402,0.028,-1.552842,0,0.02,0.02,0.16,0.014370581,0.01736688
train,403,0.028,-1.552842,1,0.01,0.01,0.16,0.016119178,0.024611566
train,404,0.028,-1.552842,2,0.05,0.06,0.16,0.028665556,0.029339036
train,405,0.0282,-1.5497509,0,0.02,0.02,0.16,0.012853562,0.015320021
train,406,0.0282,-1.5497509,1,0.0,0.08,0.16,0.024657395,0.025718613
