E,split,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE,Ta_c_old,k_c_old,Ta_c_pchip,k_c_pchip
0.0212,train,69.9036,11.8,69.78326,11.81,0.4380698672866973,70.21342468261719,11.972000122070312,69.9036,11.8
0.0213,train,69.7801,11.8,69.642006,11.84047563321945,0.4046497400240006,70.06230926513672,11.972000122070312,69.7801,11.8
0.0215,train,69.2188,11.9,69.26176,11.90226592035232,0.3790974679622629,69.4672622680664,12.061200141906738,69.21880000000002,11.9
0.0218,test,68.5635,12.1,68.577065,12.038439249830711,0.4104748954056454,68.7828369140625,12.150400161743164,68.53988195102788,12.058461320040557
0.0221,train,67.9262,12.2,67.91894,12.145317579910689,0.3737228803618442,68.12361145019531,12.3287992477417,67.92620000000001,12.2
0.0224,train,67.3227,12.3,67.25818,12.311414089827974,0.3176266240790659,67.50467681884766,12.350000381469728,67.32269999999998,12.3
0.0227,train,66.7512,12.5,66.62631,12.402402008637544,0.316104945288138,66.92768096923828,12.529999732971191,66.7512,12.5
0.0229,val,66.2665,12.6,66.22095,12.50779922409881,0.4405722005961733,66.4382095336914,12.619999885559082,66.38002864375993,12.564176388635808
0.023,train,66.1994,12.6,66.05081,12.584390242635765,0.2742756067423955,66.3705825805664,12.619999885559082,66.1994,12.6
0.0233,train,65.6814,12.8,65.52965,12.721171706195491,0.3069904229116813,65.8424301147461,12.86400032043457,65.6814,12.8
0.0235,val,65.2936,12.9,65.20787,12.841591674406358,0.3204540250488019,65.44532012939453,12.953200340270996,65.34848764081775,12.86485955457201
0.0236,train,65.1864,12.9,65.05821,12.90430881174146,0.3222659478701806,65.33314514160156,13.042399406433104,65.1864,12.9
0.0239,test,64.7112,13.1,64.59876,13.161129736781314,0.3050566117799498,64.85197448730469,13.220799446105955,64.7145963874507,13.082584831950399
0.0241,val,64.409,13.2,64.2792,13.35528388353445,0.3120099494385214,64.53976440429688,13.25,64.41168684140128,13.230228734025633
0.0242,train,64.2642,13.3,64.1313,13.416211313591068,0.2948662455969157,64.39157104492188,13.34000015258789,64.2642,13.3
0.0245,train,63.8404,13.5,63.58915,13.614659235200325,0.4482136775427986,63.974220275878906,13.520000457763672,63.84039999999999,13.5
0.0246,train,63.6034,13.6,63.532944,13.6217871819952,0.3077010549253298,63.74161148071289,13.666799545288086,63.6034,13.6
0.0248,train,63.4251,13.6,63.13307,13.770358874857806,0.5495047171901803,63.57394027709961,13.666799545288086,63.425099999999986,13.6
0.025,train,63.0256,13.8,62.98036,13.815034005696171,0.385171703073034,63.18016815185547,13.845200538635254,63.0256,13.8
0.0252,train,62.8448,13.9,62.620186,13.977902273673248,0.3664140228851622,63.00521469116211,13.934399604797363,62.844800000000006,13.9
0.0253,train,62.6425,14.0,62.570705,14.019761745847903,0.2842159281301385,62.8034782409668,14.023600578308104,62.642499999999984,14.0
0.0256,test,62.2736,14.2,62.178116,14.23764162754926,0.3290197342307401,62.43750762939453,14.20199966430664,62.262370397775484,14.230818356660384
