E,branch_local_id,n_points,n_points_branch_meta,k_left,k_right,width_k,k_min,Ta_min,Ta_max,Ta_mean,Ta_std,amplitude,Ta_left,Ta_right,left_width,right_width,left_rise,right_rise,width_asymmetry,rise_asymmetry,slope_left_local,slope_right_local,global_slope,mean_abs_slope,max_abs_slope,mean_curvature,mean_abs_curvature,curvature_at_min,convexity_ratio,area_above_min,roughness_rmse,arc_length,normalized_arc_length,has_switch_left,has_switch_right
0.001,1,28,,17.3,20.0,2.6999999999999993,17.6,413.5331,457.168,428.7098964285714,13.53280414969181,43.634900000000016,419.0088,457.168,0.3000000000000007,2.3999999999999986,5.4757000000000176,43.634900000000016,0.7777777777777772,0.8745109992230986,-17.861200000000068,4.09870000000034,16.009337985769022,18.714982142857224,35.51300000000102,26.035089285714577,26.035089285714577,60.742500000000916,2.3331012747219675,40.03950000000002,10.303165194707887,49.25540535259586,18.242742723183657,,
0.0011,0,156,,1.0,16.5,15.5,5.0,176.9964,528.4227,260.5969756410256,73.35255461267737,351.42629999999997,528.4227,404.6444,4.0,11.5,351.42629999999997,227.64800000000002,0.4838709677419355,-0.3522169513209454,-1.5918999999998282,1.5530999999999997,7.731714137598572,39.699147435897466,459.7519999999993,19.557868589743556,53.33110576923077,10.470000000000859,0.19632069969270158,1275.2152650000003,227.12969434408834,602.7672394591735,38.888208997366036,,
0.0011,1,36,,16.5,20.0,3.5,16.9,392.8987,462.0232,415.11966944444447,20.274572491174744,69.12449999999995,404.6444,462.0232,0.3999999999999986,3.1000000000000014,11.7457,69.12449999999995,0.7714285714285722,0.8300790602463669,-13.611599999998877,3.899799999999794,18.373946846846803,24.212986111111054,75.91899999999902,39.21402777777728,39.21402777777728,51.020000000001446,1.3010650242083688,75.95197999999993,19.5631000107635,81.02685574040751,23.150530211545004,,
0.0012,0,150,,1.0,15.9,14.9,5.0,176.3116,526.0233,255.19254133333337,70.75589893502136,349.71169999999995,526.0233,382.3514,4.0,10.9,349.71169999999995,206.0398,0.46308724832214765,-0.41082954902566876,-1.5513000000000212,1.5790000000000255,6.7931966469620795,41.95175000000002,457.62599999999924,7.3497166666668425,70.67378333333302,10.419999999999769,0.1474379820711426,1155.4265450000003,220.91808421601525,609.0347547424437,40.87481575452642,,
0.0012,1,37,,15.9,19.5,3.5999999999999996,16.3,375.1039,445.0595,397.3977837837838,20.57139363858927,69.9556,382.3514,445.0595,0.40000000000000036,3.1999999999999993,7.247500000000002,69.9556,0.7777777777777776,0.8963985728090389,-9.94900000000023,3.9863999999997675,18.303004030346152,22.08755405405403,50.77199999999932,26.982905405405166,26.982905405405166,42.13749999999879,1.5616368721938254,78.62721499999996,17.55315638668747,77.35983270333793,21.488842417593872,,
0.0012,2,6,,19.5,20.0,0.5,19.9,428.7833,450.5366,435.51146666666665,8.851118773855037,21.753300000000024,445.0595,428.8753,0.3999999999999986,0.10000000000000142,16.276200000000017,0.09199999999998454,-0.5999999999999943,-0.7439882684466271,-66.67999999999935,0.920000000000908,-42.17171428571435,40.89641666666788,106.69800000000396,-193.46375000000288,498.9279166666715,50.44499999999731,0.10110678980847465,3.2184900000000063,5.602994473612611,27.382877136637394,54.76575427327479,,
0.0013,0,139,,1.0,14.8,13.8,5.0,174.9779,521.3175,245.66913956834532,66.53084974565404,346.3396,521.3175,354.9151,4.0,9.8,346.3396,179.9372,0.4202898550724638,-0.4804602188141351,-1.466899999999759,1.635399999999881,4.8226787926180625,43.29974100719419,453.4559999999995,6.57140287769838,77.33233812949585,10.32749999999968,0.1335469772387575,956.2943899999999,213.71873475132156,581.6970825489677,42.15196250354838,,
0.0013,1,40,,14.8,18.7,3.8999999999999986,15.3,345.9193,417.4841,368.17331,20.901293371006968,71.56479999999999,354.9151,417.4841,0.5,3.3999999999999986,8.995799999999974,71.56479999999999,0.7435897435897435,0.8742985378286535,-6.285499999999997,3.8574999999994874,17.053014446529087,21.31463750000004,48.80500000000144,25.971000000000537,25.971000000000537,31.787500000001252,1.2239613414963073,84.98800999999986,19.38224848322701,80.74295695210506,20.70332229541156,,
0.0013,2,14,,18.7,20.0,1.3000000000000007,19.1,396.6398,417.4841,401.75710714285714,6.595087398799661,20.844300000000032,417.4841,404.2016,0.40000000000000213,0.8999999999999986,20.844300000000032,7.561800000000005,0.3846153846153817,-0.6372245649889902,-59.69720000000031,4.306200000000417,-5.136621978022051,21.062892857143385,99.85850000000346,-13.719107142857954,173.18017857143087,38.11000000000247,0.22005982621321415,5.743925000000033,11.22287972786147,28.519629050255958,21.93817619250457,,
0.0014,0,134,,1.0,14.3,13.3,5.0,174.3287,519.0099,241.50301865671645,64.87620883687636,344.6812,519.0099,346.8685,4.0,9.3,344.6812,172.53979999999999,0.3984962406015038,-0.4994220746591343,-1.4233000000001246,1.6659999999999753,3.8007323408022526,42.75895895522385,451.4099999999998,14.99731343283621,70.0614179104474,10.285000000000117,0.1467997694986193,874.2748200000001,211.74359198459325,555.4479025919336,41.763000194882224,,
0.0014,1,58,,14.3,20.0,5.699999999999999,14.9,333.7744,407.4536,365.0252258620689,23.147043707012152,73.67919999999998,346.8685,394.9616,0.5999999999999996,5.1,13.094099999999969,61.18719999999996,0.7894736842105264,0.652736457507682,-4.353700000000224,4.12580000000008,12.87607736319174,20.32311206896538,121.48449999999616,16.43073275862251,64.76176724137855,26.992500000001296,0.4167968409415926,177.54072499999992,12.690726884945697,131.29556017330688,23.034308802334543,,
0.0015,0,131,,1.0,14.0,13.0,5.0,173.691,516.7318,239.35527175572517,64.80351551742028,343.0408,516.7318,328.6541,4.0,9.0,343.0408,154.96310000000003,0.38461538461538464,-0.5482662703678396,-1.378899999999725,1.698600000000018,3.402361009982375,47.91455343511451,504.2510000000017,-15.936717557252479,110.40362595419889,10.244999999999926,0.0927958652757481,835.3017649999999,205.45830896027525,599.4439276772102,46.111071359785406,,
0.0015,1,61,,14.0,20.0,6.0,14.5,322.8606,396.1962,355.3182213114754,23.311817860195355,73.3356,328.6541,386.7345,0.5,5.5,5.793500000000051,63.87390000000005,0.8333333333333334,0.7919809751334959,-4.597399999999884,3.550199999999878,12.385705023796932,18.676713114753994,126.09849999999597,7.700491803279002,55.61647540983586,26.01250000000173,0.4677121268170363,194.50812000000013,9.809304298903589,127.01376457433888,21.168960762389812,,
0.0016,0,128,,1.0,13.7,12.7,5.0,173.0649,514.4824,237.37577031249998,64.9979447456446,341.4175,514.4824,316.8246,4.0,8.7,341.4175,143.75969999999998,0.37007874015748027,-0.5789328315039505,-1.3328999999998068,1.7321000000001665,3.0244169165445935,52.692152343750024,783.8670000000029,-45.771757812500695,149.1857421875007,10.202500000000363,0.06838790255959973,798.92028,201.49426578828079,642.5341828083657,50.5932427408162,,
